"anio" "lag1" "lag2" "lag3" "lag4" "lag5" "volumen" "direc"
2001 0.381 -0.192 -2.624 -1.055 5.01 1.1913 "Up"
2001 0.959 0.381 -0.192 -2.624 -1.055 1.2965 "Up"
2001 1.032 0.959 0.381 -0.192 -2.624 1.4112 "Up"
2001 -0.623 1.032 0.959 0.381 -0.192 1.276 "Down"
2001 0.614 -0.623 1.032 0.959 0.381 1.2057 "Down"
2001 0.213 0.614 -0.623 1.032 0.959 1.3491 "Up"
2001 1.392 0.213 0.614 -0.623 1.032 1.445 "Up"
2001 -0.403 1.392 0.213 0.614 -0.623 1.4078 "Down"
2001 0.027 -0.403 1.392 0.213 0.614 1.164 "Down"
2001 1.303 0.027 -0.403 1.392 0.213 1.2326 "Down"
2001 0.287 1.303 0.027 -0.403 1.392 1.309 "Up"
2001 -0.498 0.287 1.303 0.027 -0.403 1.258 "Down"
2001 -0.189 -0.498 0.287 1.303 0.027 1.098 "Down"
2001 0.68 -0.189 -0.498 0.287 1.303 1.0531 "Up"
2001 0.701 0.68 -0.189 -0.498 0.287 1.1498 "Down"
2001 -0.562 0.701 0.68 -0.189 -0.498 1.2953 "Down"
2001 0.546 -0.562 0.701 0.68 -0.189 1.1188 "Down"
2001 -1.747 0.546 -0.562 0.701 0.68 1.0484 "Down"
2001 0.359 -1.747 0.546 -0.562 0.701 1.013 "Down"
2001 -0.151 0.359 -1.747 0.546 -0.562 1.0596 "Down"
2001 -0.841 -0.151 0.359 -1.747 0.546 1.1583 "Down"
2001 -0.623 -0.841 -0.151 0.359 -1.747 1.1072 "Up"
2001 -1.334 -0.623 -0.841 -0.151 0.359 1.0755 "Down"
2001 1.183 -1.334 -0.623 -0.841 -0.151 1.0391 "Down"
2001 -0.865 1.183 -1.334 -0.623 -0.841 1.0752 "Down"
2001 -0.218 -0.865 1.183 -1.334 -0.623 1.1503 "Down"
2001 0.812 -0.218 -0.865 1.183 -1.334 1.1537 "Up"
2001 -1.891 0.812 -0.218 -0.865 1.183 1.2572 "Up"
2001 -1.736 -1.891 0.812 -0.218 -0.865 1.1122 "Down"
2001 -1.851 -1.736 -1.891 0.812 -0.218 1.2085 "Down"
2001 -0.195 -1.851 -1.736 -1.891 0.812 1.3659 "Up"
2001 -0.556 -0.195 -1.851 -1.736 -1.891 1.2313 "Up"
2001 1.749 -0.556 -0.195 -1.851 -1.736 1.1308 "Up"
2001 -0.766 1.749 -0.556 -0.195 -1.851 1.1141 "Up"
2001 -1.431 -0.766 1.749 -0.556 -0.195 1.2253 "Down"
2001 0.104 -1.431 -0.766 1.749 -0.556 1.2949 "Down"
2001 -0.568 0.104 -1.431 -0.766 1.749 1.294 "Up"
2001 0.586 -0.568 0.104 -1.431 -0.766 0.9292 "Down"
2001 0.998 0.586 -0.568 0.104 -1.431 1.0918 "Up"
2001 0.645 0.998 0.586 -0.568 0.104 1.1322 "Down"
2001 0.226 0.645 0.998 0.586 -0.568 1.1141 "Down"
2001 -2.476 0.226 0.645 0.998 0.586 1.0859 "Down"
2001 -4.318 -2.476 0.226 0.645 0.998 1.229 "Up"
2001 1.483 -4.318 -2.476 0.226 0.645 1.3609 "Down"
2001 -2.584 1.483 -4.318 -2.476 0.226 1.3974 "Down"
2001 0.587 -2.584 1.483 -4.318 -2.476 1.2595 "Up"
2001 -1.962 0.587 -2.584 1.483 -4.318 1.54356 "Up"
2001 1.763 -1.962 0.587 -2.584 1.483 1.1262 "Up"
2001 -2.408 1.763 -1.962 0.587 -2.584 1.2359 "Up"
2001 -1.792 -2.408 1.763 -1.962 0.587 1.3463 "Down"
2001 -0.406 -1.792 -2.408 1.763 -1.962 1.72395 "Up"
2001 1.991 -0.406 -1.792 -2.408 1.763 1.3649 "Up"
2001 1.128 1.991 -0.406 -1.792 -2.408 1.114 "Up"
2001 2.557 1.128 1.991 -0.406 -1.792 1.3142 "Up"
2001 -2.443 2.557 1.128 1.991 -0.406 1.3334 "Down"
2001 -0.463 -2.443 2.557 1.128 1.991 1.2345 "Up"
2001 1.078 -0.463 -2.443 2.557 1.128 1.2808 "Up"
2001 -1.246 1.078 -0.463 -2.443 2.557 1.2549 "Up"
2001 -3.439 -1.246 1.078 -0.463 -2.443 1.3861 "Up"
2001 -0.29 -3.439 -1.246 1.078 -0.463 1.42559 "Down"
2001 4.368 -0.29 -3.439 -1.246 1.078 1.368 "Up"
2001 -1.998 4.368 -0.29 -3.439 -1.246 1.2668 "Up"
2001 0.812 -1.998 4.368 -0.29 -3.439 1.0628 "Up"
2001 2.707 0.812 -1.998 4.368 -0.29 1.3496 "Down"
2001 -0.213 2.707 0.812 -1.998 4.368 1.2903 "Up"
2001 1.51 -0.213 2.707 0.812 -1.998 1.102 "Up"
2001 -0.323 1.51 -0.213 2.707 0.812 0.9139 "Down"
2001 1.028 -0.323 1.51 -0.213 2.707 1.1096 "Up"
2001 3.889 1.028 -0.323 1.51 -0.213 1.9189 "Down"
2001 1.254 3.889 1.028 -0.323 1.51 1.4868 "Up"
2001 -0.854 1.254 3.889 1.028 -0.323 1.3387 "Down"
2001 -1.498 -0.854 1.254 3.889 1.028 1.0126 "Up"
2001 -1.216 -1.498 -0.854 1.254 3.889 1.2165 "Up"
2001 1.594 -1.216 -1.498 -0.854 1.254 1.2036 "Up"
2001 0.47 1.594 -1.216 -1.498 -0.854 1.3452 "Up"
2001 1.501 0.47 1.594 -1.216 -1.498 1.0913 "Up"
2001 -0.287 1.501 0.47 1.594 -1.216 1.2668 "Up"
2001 1.359 -0.287 1.501 0.47 1.594 1.1813 "Up"
2001 0.078 1.359 -0.287 1.501 0.47 1.3422 "Down"
2001 -1.487 0.078 1.359 -0.287 1.501 1.1379 "Up"
2001 1.444 -1.487 0.078 1.359 -0.287 1.0821 "Down"
2001 -0.245 1.444 -1.487 0.078 1.359 0.949 "Up"
2001 -0.183 -0.245 1.444 -1.487 0.078 1.0063 "Down"
2001 -0.449 -0.183 -0.245 1.444 -1.487 1.1324 "Up"
2001 -0.029 -0.449 -0.183 -0.245 1.444 1.0567 "Up"
2001 -0.758 -0.029 -0.449 -0.183 -0.245 0.9062 "Down"
2001 0.261 -0.758 -0.029 -0.449 -0.183 0.8582 "Down"
2001 0.042 0.261 -0.758 -0.029 -0.449 1.0718 "Down"
2001 2.845 0.042 0.261 -0.758 -0.029 1.4053 "Down"
2001 0.272 2.845 0.042 0.261 -0.758 1.3556 "Down"
2001 0.269 0.272 2.845 0.042 0.261 1.1308 "Down"
2001 1.615 0.269 0.272 2.845 0.042 1.1749 "Down"
2001 -0.263 1.615 0.269 0.272 2.845 1.2604 "Up"
2001 -1.553 -0.263 1.615 0.269 0.272 1.1348 "Down"
2001 0.32 -1.553 -0.263 1.615 0.269 1.1007 "Down"
2001 -1.182 0.32 -1.553 -0.263 1.615 0.8281 "Up"
2001 -0.779 -1.182 0.32 -1.553 -0.263 1.026 "Down"
2001 -1.566 -0.779 -1.182 0.32 -1.553 1.1586 "Up"
2001 0.62 -1.566 -0.779 -1.182 0.32 1.2266 "Down"
2001 0.386 0.62 -1.566 -0.779 -1.182 1.015 "Up"
2001 0.511 0.386 0.62 -1.566 -0.779 0.8365 "Down"
2001 1.299 0.511 0.386 0.62 -1.566 1.1168 "Up"
2001 -1.055 1.299 0.511 0.386 0.62 1.0619 "Down"
2001 0.546 -1.055 1.299 0.511 0.386 1.0896 "Down"
2001 -0.94 0.546 -1.055 1.299 0.511 0.7262 "Down"
2001 -0.836 -0.94 0.546 -1.055 1.299 0.8701 "Up"
2001 0.116 -0.836 -0.94 0.546 -1.055 1.1365 "Up"
2001 -1.135 0.116 -0.836 -0.94 0.546 1.0636 "Down"
2001 -1.75 -1.135 0.116 -0.836 -0.94 1.2429 "Up"
2001 -0.452 -1.75 -1.135 0.116 -0.836 1.63555 "Up"
2001 -0.488 -0.452 -1.75 -1.135 0.116 1.1116 "Down"
2001 0.343 -0.488 -0.452 -1.75 -1.135 1.1849 "Up"
2001 0.871 0.343 -0.488 -0.452 -1.75 1.3501 "Up"
2001 1.136 0.871 0.343 -0.488 -0.452 1.54682 "Down"
2001 -0.945 1.136 0.871 0.343 -0.488 1.1892 "Down"
2001 -0.551 -0.945 1.136 0.871 0.343 1.0501 "Down"
2001 -0.151 -0.551 -0.945 1.136 0.871 1.1989 "Up"
2001 -0.468 -0.151 -0.551 -0.945 1.136 1.1621 "Up"
2001 1.249 -0.468 -0.151 -0.551 -0.945 1.3273 "Up"
2001 -0.148 1.249 -0.468 -0.151 -0.551 1.83236 "Down"
2001 1.008 -0.148 1.249 -0.468 -0.151 1.1283 "Down"
2001 -0.184 1.008 -0.148 1.249 -0.468 0.62211 "Down"
2001 -1.232 -0.184 1.008 -0.148 1.249 0.9349 "Up"
2001 -2.35 -1.232 -0.184 1.008 -0.148 1.0567 "Down"
2001 0.688 -2.35 -1.232 -0.184 1.008 1.0457 "Up"
2001 -1.44 0.688 -2.35 -1.232 -0.184 1.2638 "Down"
2001 -0.113 -1.44 0.688 -2.35 -1.232 1.3841 "Up"
2001 2.369 -0.113 -1.44 0.688 -2.35 1.394 "Up"
2001 0.624 2.369 -0.113 -1.44 0.688 1.1217 "Down"
2001 -1.088 0.624 2.369 -0.113 -1.44 1.0398 "Up"
2001 0.997 -1.088 0.624 2.369 -0.113 1.2381 "Down"
2001 -0.554 0.997 -1.088 0.624 2.369 1.3163 "Up"
2001 0.605 -0.554 0.997 -1.088 0.624 1.3435 "Down"
2001 -0.343 0.605 -0.554 0.997 -1.088 1.1709 "Up"
2001 -1.637 -0.343 0.605 -0.554 0.997 0.9869 "Up"
2001 -1.627 -1.637 -0.343 0.605 -0.554 1.1987 "Down"
2001 1.608 -1.627 -1.637 -0.343 0.605 1.2807 "Down"
2001 1.045 1.608 -1.627 -1.637 -0.343 1.2139 "Down"
2001 0.24 1.045 1.608 -1.627 -1.637 1.0153 "Up"
2001 -0.108 0.24 1.045 1.608 -1.627 0.9091 "Up"
2001 0.557 -0.108 0.24 1.045 1.608 1.1292 "Up"
2001 0.388 0.557 -0.108 0.24 1.045 1.3403 "Up"
2001 0.396 0.388 0.557 -0.108 0.24 1.2183 "Down"
2001 -0.524 0.396 0.388 0.557 -0.108 0.9399 "Down"
2001 -1.142 -0.524 0.396 0.388 0.557 0.8117 "Down"
2001 0.327 -1.142 -0.524 0.396 0.388 1.012 "Down"
2001 -1.733 0.327 -1.142 -0.524 0.396 1.1246 "Down"
2001 -0.008 -1.733 0.327 -1.142 -0.524 1.1042 "Down"
2001 0.569 -0.008 -1.733 0.327 -1.142 0.9609 "Up"
2001 0.095 0.569 -0.008 -1.733 0.327 0.8376 "Down"
2001 -0.383 0.095 0.569 -0.008 -1.733 0.9646 "Up"
2001 -0.734 -0.383 0.095 0.569 -0.008 1.0656 "Down"
2001 0.309 -0.734 -0.383 0.095 0.569 1.0554 "Down"
2001 -1.666 0.309 -0.734 -0.383 0.095 0.9743 "Down"
2001 0.812 -1.666 0.309 -0.734 -0.383 0.8971 "Down"
2001 -1.208 0.812 -1.666 0.309 -0.734 1.0416 "Down"
2001 0.696 -1.208 0.812 -1.666 0.309 1.1108 "Down"
2001 -0.276 0.696 -1.208 0.812 -1.666 0.9862 "Up"
2001 1.965 -0.276 0.696 -1.208 0.812 1.0436 "Down"
2001 -0.483 1.965 -0.276 0.696 -1.208 0.8426 "Up"
2001 -1.501 -0.483 1.965 -0.276 0.696 0.9871 "Down"
2001 -1.115 -1.501 -0.483 1.965 -0.276 0.9637 "Down"
2001 -1.7 -1.115 -1.501 -0.483 1.965 1.157 "Up"
2001 0.403 -1.7 -1.115 -1.501 -0.483 0.9201 "Down"
2001 -0.056 0.403 -1.7 -1.115 -1.501 1.1783 "Up"
2001 -0.106 -0.056 0.403 -1.7 -1.115 1.3845 "Up"
2001 -2.239 -0.106 -0.056 0.403 -1.7 1.3597 "Up"
2001 -1.864 -2.239 -0.106 -0.056 0.403 1.4243 "Down"
2001 0.623 -1.864 -2.239 -0.106 -0.056 1.2766 "Down"
2001 -4.922 0.623 -1.864 -2.239 -0.106 2.33083 "Up"
2001 -0.58 -4.922 0.623 -1.864 -2.239 1.65041 "Up"
2001 -1.611 -0.58 -4.922 0.623 -1.864 2.12055 "Up"
2001 -3.106 -1.611 -0.58 -4.922 0.623 2.0048 "Up"
2001 -1.903 -3.106 -1.611 -0.58 -4.922 2.3173 "Up"
2001 3.898 -1.903 -3.106 -1.611 -0.58 1.7466 "Down"
2001 0.879 3.898 -1.903 -3.106 -1.611 1.6138 "Up"
2001 -0.517 0.879 3.898 -1.903 -3.106 1.5191 "Up"
2001 1.149 -0.517 0.879 3.898 -1.903 1.467 "Up"
2001 2.192 1.149 -0.517 0.879 3.898 1.6315 "Up"
2001 -0.23 2.192 1.149 -0.517 0.879 1.1756 "Up"
2001 1.231 -0.23 2.192 1.149 -0.517 1.2898 "Down"
2001 1.993 1.231 -0.23 2.192 1.149 1.6506 "Up"
2001 -0.247 1.993 1.231 -0.23 2.192 1.6091 "Up"
2001 0.164 -0.247 1.993 1.231 -0.23 1.3017 "Down"
2001 -0.834 0.164 -0.247 1.993 1.231 0.979 "Up"
2001 -0.536 -0.834 0.164 -0.247 1.993 1.2278 "Up"
2001 2.294 -0.536 -0.834 0.164 -0.247 1.3124 "Down"
2001 1.521 2.294 -0.536 -0.834 0.164 1.70458 "Down"
2001 -0.527 1.521 2.294 -0.536 -0.834 1.3314 "Up"
2001 -0.153 -0.527 1.521 2.294 -0.536 1.0247 "Down"
2001 0.694 -0.153 -0.527 1.521 2.294 1.2105 "Up"
2001 -1.863 0.694 -0.153 -0.527 1.521 1.4522 "Up"
2001 -0.787 -1.863 0.694 -0.153 -0.527 1.2629 "Down"
2001 0.456 -0.787 -1.863 0.694 -0.153 1.2949 "Down"
2001 1.53 0.456 -0.787 -1.863 0.694 1.1057 "Down"
2001 -0.47 1.53 0.456 -0.787 -1.863 1.3173 "Up"
2001 0.039 -0.47 1.53 0.456 -0.787 1.3362 "Down"
2001 1.372 0.039 -0.47 1.53 0.456 1.3644 "Down"
2001 0.411 1.372 0.039 -0.47 1.53 1.2445 "Up"
2001 -2.382 0.411 1.372 0.039 -0.47 1.1061 "Down"
2001 -1.717 -2.382 0.411 1.372 0.039 1.2974 "Down"
2001 -0.001 -1.717 -2.382 0.411 1.372 1.3525 "Up"
2001 2.295 -0.001 -1.717 -2.382 0.411 1.3174 "Down"
2001 0.286 2.295 -0.001 -1.717 -2.382 1.1219 "Up"
2001 1.439 0.286 2.295 -0.001 -1.717 1.2677 "Up"
2001 1.453 1.439 0.286 2.295 -0.001 1.356 "Down"
2001 -0.273 1.453 1.439 0.286 2.295 1.4113 "Up"
2001 0.246 -0.273 1.453 1.439 0.286 1.5175 "Down"
2001 0.158 0.246 -0.273 1.453 1.439 1.0938 "Up"
2001 -0.177 0.158 0.246 -0.273 1.453 0.9916 "Up"
2001 1.856 -0.177 0.158 0.246 -0.273 1.3701 "Down"
2001 0.186 1.856 -0.177 0.158 0.246 1.4434 "Down"
2001 0.09 0.186 1.856 -0.177 0.158 1.4545 "Down"
2001 -0.314 0.09 0.186 1.856 -0.177 1.3374 "Down"
2001 1.09 -0.314 0.09 0.186 1.856 1.3168 "Up"
2001 -0.73 1.09 -0.314 0.09 0.186 1.3302 "Down"
2001 -0.493 -0.73 1.09 -0.314 0.09 1.0293 "Down"
2001 1.171 -0.493 -0.73 1.09 -0.314 0.4103 "Down"
2001 0.615 1.171 -0.493 -0.73 1.09 1.1298 "Up"
2001 -0.684 0.615 1.171 -0.493 -0.73 1.288 "Down"
2001 -1.825 -0.684 0.615 1.171 -0.493 1.4237 "Down"
2001 1.035 -1.825 -0.684 0.615 1.171 1.3757 "Up"
2001 -0.066 1.035 -1.825 -0.684 0.615 1.3436 "Down"
2001 -0.838 -0.066 1.035 -1.825 -0.684 1.2029 "Down"
2001 1.319 -0.838 -0.066 1.035 -1.825 1.3185 "Up"
2001 2.232 1.319 -0.838 -0.066 1.035 1.7653 "Up"
2001 -0.278 2.232 1.319 -0.838 -0.066 1.4879 "Down"
2001 -0.753 -0.278 2.232 1.319 -0.838 1.2482 "Up"
2001 -1.587 -0.753 -0.278 2.232 1.319 1.2187 "Up"
2001 -0.278 -1.587 -0.753 -0.278 2.232 1.3672 "Up"
2001 0.027 -0.278 -1.587 -0.753 -0.278 1.4497 "Down"
2001 -1.556 0.027 -0.278 -1.587 -0.753 1.5115 "Down"
2001 0.331 -1.556 0.027 -0.278 -1.587 1.3068 "Up"
2001 1.003 0.331 -1.556 0.027 -0.278 1.2604 "Down"
2001 0.755 1.003 0.331 -1.556 0.027 1.354 "Down"
2001 0.581 0.755 1.003 0.331 -1.556 1.4849 "Up"
2001 -0.838 0.581 0.755 1.003 0.331 1.4905 "Down"
2001 0.435 -0.838 0.581 0.755 1.003 1.694 "Up"
2001 -0.021 0.435 -0.838 0.581 0.755 0.43967 "Down"
2001 0.412 -0.021 0.435 -0.838 0.581 0.7911 "Down"
2001 0.675 0.412 -0.021 0.435 -0.838 0.8763 "Down"
2001 0.336 0.675 0.412 -0.021 0.435 0.9174 "Down"
2002 -1.115 0.336 0.675 0.412 -0.021 0.9436 "Down"
2002 0.574 -1.115 0.336 0.675 0.412 1.171 "Down"
2002 0.918 0.574 -1.115 0.336 0.675 1.3989 "Down"
2002 0.621 0.918 0.574 -1.115 0.336 1.513 "Down"
2002 -0.65 0.621 0.918 0.574 -1.115 1.3083 "Up"
2002 -0.359 -0.65 0.621 0.918 0.574 1.2588 "Down"
2002 -0.48 -0.359 -0.65 0.621 0.918 1.452 "Up"
2002 0.122 -0.48 -0.359 -0.65 0.621 1.299 "Down"
2002 -0.947 0.122 -0.48 -0.359 -0.65 1.2119 "Down"
2002 -0.628 -0.947 0.122 -0.48 -0.359 1.2864 "Down"
2002 0.683 -0.628 -0.947 0.122 -0.48 1.3869 "Down"
2002 -1.625 0.683 -0.628 -0.947 0.122 1.4825 "Down"
2002 1.003 -1.625 0.683 -0.628 -0.947 1.3801 "Up"
2002 -0.992 1.003 -1.625 0.683 -0.628 1.3333 "Down"
2002 -0.733 -0.992 1.003 -1.625 0.683 1.3116 "Down"
2002 0.792 -0.733 -0.992 1.003 -1.625 1.4792 "Up"
2002 0.352 0.792 -0.733 -0.992 1.003 1.5528 "Up"
2002 0.1 0.352 0.792 -0.733 -0.992 1.3451 "Up"
2002 -0.019 0.1 0.352 0.792 -0.733 1.1868 "Down"
2002 -2.861 -0.019 0.1 0.352 0.792 1.812 "Up"
2002 1.175 -2.861 -0.019 0.1 0.352 2.0196 "Up"
2002 1.493 1.175 -2.861 -0.019 0.1 1.557 "Down"
2002 -0.708 1.493 1.175 -2.861 -0.019 1.3672 "Down"
2002 -2.474 -0.708 1.493 1.175 -2.861 1.4376 "Up"
2002 -0.404 -2.474 -0.708 1.493 1.175 1.7783 "Up"
2002 -0.597 -0.404 -2.474 -0.708 1.493 1.6658 "Up"
2002 -0.308 -0.597 -0.404 -2.474 -0.708 1.4416 "Down"
2002 1.486 -0.308 -0.597 -0.404 -2.474 1.3719 "Up"
2002 1.434 1.486 -0.308 -0.597 -0.404 1.1594 "Down"
2002 -0.399 1.434 1.486 -0.308 -0.597 1.0942 "Down"
2002 0.994 -0.399 1.434 1.486 -0.308 1.2159 "Down"
2002 -0.181 0.994 -0.399 1.434 1.486 1.2725 "Up"
2002 -1.102 -0.181 0.994 -0.399 1.434 1.3592 "Up"
2002 -1.887 -1.102 -0.181 0.994 -0.399 1.1899 "Down"
2002 1.351 -1.887 -1.102 -0.181 0.994 1.4389 "Up"
2002 -1.551 1.351 -1.887 -1.102 -0.181 1.3816 "Down"
2002 0.822 -1.551 1.351 -1.887 -1.102 1.411 "Up"
2002 1.798 0.822 -1.551 1.351 -1.887 1.3674 "Up"
2002 -0.005 1.798 0.822 -1.551 1.351 1.3092 "Up"
2002 0.046 -0.005 1.798 0.822 -1.551 1.3938 "Up"
2002 -0.285 0.046 -0.005 1.798 0.822 1.3922 "Up"
2002 2.263 -0.285 0.046 -0.005 1.798 1.4565 "Up"
2002 1.949 2.263 -0.285 0.046 -0.005 1.5943 "Down"
2002 -0.667 1.949 2.263 -0.285 0.046 1.5493 "Down"
2002 1.451 -0.667 1.949 2.263 -0.285 1.5413 "Down"
2002 -0.45 1.451 -0.667 1.949 2.263 1.5174 "Up"
2002 0.585 -0.45 1.451 -0.667 1.949 1.412 "Up"
2002 0.339 0.585 -0.45 1.451 -0.667 1.2102 "Down"
2002 -0.229 0.339 0.585 -0.45 1.451 1.3044 "Up"
2002 -0.986 -0.229 0.339 0.585 -0.45 1.354 "Down"
2002 -0.091 -0.986 -0.229 0.339 0.585 1.2088 "Down"
2002 1.138 -0.091 -0.986 -0.229 0.339 1.4939 "Down"
2002 -0.052 1.138 -0.091 -0.986 -0.229 1.1695 "Down"
2002 0.407 -0.052 1.138 -0.091 -0.986 1.255 "Up"
2002 -1.576 0.407 -0.052 1.138 -0.091 1.3049 "Down"
2002 0.151 -1.576 0.407 -0.052 1.138 1.3392 "Up"
2002 -0.424 0.151 -1.576 0.407 -0.052 1.2433 "Down"
2002 -1.465 -0.424 0.151 -1.576 0.407 1.0579 "Down"
2002 0.585 -1.465 -0.424 0.151 -1.576 1.2236 "Up"
2002 0.535 0.585 -1.465 -0.424 0.151 1.1801 "Down"
2002 0.246 0.535 0.585 -1.465 -0.424 1.1476 "Down"
2002 -0.074 0.246 0.535 0.585 -1.465 1.0509 "Up"
2002 -0.853 -0.074 0.246 0.535 0.585 1.1767 "Down"
2002 -0.999 -0.853 -0.074 0.246 0.535 1.2197 "Down"
2002 0.084 -0.999 -0.853 -0.074 0.246 1.2838 "Down"
2002 -0.321 0.084 -0.999 -0.853 -0.074 1.1102 "Down"
2002 0.228 -0.321 0.084 -0.999 -0.853 1.0953 "Down"
2002 -0.666 0.228 -0.321 0.084 -0.999 1.2354 "Up"
2002 1.133 -0.666 0.228 -0.321 0.084 1.4479 "Down"
2002 -2.369 1.133 -0.666 0.228 -0.321 1.5056 "Down"
2002 0.663 -2.369 1.133 -0.666 0.228 1.2821 "Down"
2002 -0.761 0.663 -2.369 1.133 -0.666 1.1204 "Down"
2002 2.342 -0.761 0.663 -2.369 1.133 1.3413 "Up"
2002 -0.204 2.342 -0.761 0.663 -2.369 1.3769 "Up"
2002 -0.142 -0.204 2.342 -0.761 0.663 1.3593 "Down"
2002 0.062 -0.142 -0.204 2.342 -0.761 1.185 "Down"
2002 -1.541 0.062 -0.142 -0.204 2.342 1.1818 "Up"
2002 -0.62 -1.541 0.062 -0.142 -0.204 1.3885 "Down"
2002 -0.71 -0.62 -1.541 0.062 -0.142 1.3732 "Down"
2002 -0.152 -0.71 -0.62 -1.541 0.062 1.5174 "Down"
2002 -1.389 -0.152 -0.71 -0.62 -1.541 1.3742 "Up"
2002 -1.01 -1.389 -0.152 -0.71 -0.62 1.3147 "Down"
2002 1.077 -1.01 -1.389 -0.152 -0.71 1.6286 "Down"
2002 0.886 1.077 -1.01 -1.389 -0.152 1.4514 "Down"
2002 -0.175 0.886 1.077 -1.01 -1.389 1.364 "Up"
2002 -1.026 -0.175 0.886 1.077 -1.01 1.2845 "Up"
2002 -1.934 -1.026 -0.175 0.886 1.077 1.1226 "Up"
2002 -0.302 -1.934 -1.026 -0.175 0.886 1.3547 "Up"
2002 3.75 -0.302 -1.934 -1.026 -0.175 1.502 "Down"
2002 -1.455 3.75 -0.302 -1.934 -1.026 1.153 "Up"
2002 -1.679 -1.455 3.75 -0.302 -1.934 1.1719 "Up"
